epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
56,147825,1.02583,1.60444,0.74643,0.00834,0.36512,0.97013,0.837,0.91977,0.70262,0.96659,0.84294,0.91936,0.69783,1.0029,1.61355,0.67777,0.00996,0,0.00044555,0.00044555,0.00044555
57,149969,1.0547,1.63329,0.76634,0.00894,0.37337,0.94804,0.85066,0.94148,0.69612,0.94393,0.84698,0.93058,0.69569,1.05171,1.64554,0.58314,0.01074,0,0.00044456,0.00044456,0.00044456
58,152113,1.09643,1.65313,0.80163,0.0092,0.4115,0.95855,0.87951,0.94122,0.72882,0.95721,0.87828,0.93802,0.7071,0.95752,1.57017,0.53552,0.00952,0,0.00044357,0.00044357,0.00044357
59,154265,1.03429,1.57637,0.74532,0.00876,0.37289,0.92696,0.79509,0.89893,0.68156,0.92553,0.79387,0.89697,0.67841,1.02168,1.63113,0.75332,0.01017,0,0.00044258,0.00044258,0.00044258
60,156397,1.04853,1.59949,0.76204,0.00879,0.37176,0.93862,0.84439,0.91991,0.70548,0.93862,0.84439,0.92118,0.70312,1.00313,1.53472,0.62468,0.00988,0,0.00044159,0.00044159,0.00044159
61,158532,1.01945,1.59988,0.72702,0.00876,0.35178,0.89996,0.88098,0.93435,0.69811,0.8962,0.8773,0.93054,0.68062,1.04165,1.67799,0.61008,0.01056,0,0.0004406,0.0004406,0.0004406
62,160666,1.03965,1.5945,0.75704,0.00871,0.37278,0.96141,0.83436,0.90044,0.69359,0.96045,0.83313,0.90182,0.68873,1.00511,1.60869,0.74955,0.01003,0,0.00043961,0.00043961,0.00043961
63,162797,1.01828,1.56303,0.68669,0.0083,0.35472,0.95095,0.8801,0.95023,0.72482,0.94742,0.87607,0.94206,0.72063,1.00703,1.54659,0.4991,0.0099,0,0.00043862,0.00043862,0.00043862
64,164945,1.03458,1.60707,0.72923,0.0089,0.37103,0.91997,0.84172,0.90824,0.687,0.92194,0.84049,0.90843,0.67377,1.00499,1.68837,0.72146,0.01017,0,0.00043763,0.00043763,0.00043763
65,167098,1.03034,1.53424,0.71913,0.00853,0.34429,0.95914,0.83926,0.93557,0.69046,0.95914,0.83926,0.93185,0.69778,1.08475,1.67434,0.57936,0.01116,0,0.00043664,0.00043664,0.00043664
66,169248,1.05768,1.56653,0.74225,0.0091,0.35406,0.93045,0.90061,0.95614,0.72617,0.93045,0.90061,0.95258,0.72282,1.00232,1.55573,0.51443,0.00988,0,0.00043565,0.00043565,0.00043565
67,171402,1.00135,1.52079,0.67894,0.00814,0.34036,0.95625,0.8319,0.9213,0.70464,0.95625,0.8319,0.91524,0.68344,0.98922,1.70521,0.62359,0.00961,0,0.00043466,0.00043466,0.00043466
